Date,Pasar Aksara,Pasar Brayan,Pasar Petisah,Pasar Sukaramai,Pusat Pasar,is_holiday
2025-05-26,28000.0,28000.0,28000.0,25000.0,26000.0,0
2025-05-27,25000.0,24000.0,25000.0,22000.0,24000.0,0
2025-05-28,25000.0,24000.0,25000.0,22000.0,24000.0,0
2025-05-29,25000.0,24000.0,25000.0,22000.0,24000.0,0
2025-05-30,25000.0,24000.0,25000.0,22000.0,24000.0,0
2025-06-02,30000.0,28000.0,30000.0,22000.0,24000.0,1
2025-06-03,25500.0,24000.0,29000.0,22000.0,24000.0,1
2025-06-04,26500.0,28000.0,29000.0,26000.0,26000.0,1
2025-06-05,26500.0,28000.0,29000.0,26000.0,26000.0,1
2025-06-06,26500.0,28000.0,29000.0,26000.0,26000.0,1
2025-06-09,26500.0,28000.0,29000.0,26000.0,26000.0,1
2025-06-10,24000.0,24000.0,24000.0,22000.0,23000.0,0
2025-06-11,24000.0,24000.0,24000.0,22000.0,23000.0,0
2025-06-12,24000.0,24000.0,24000.0,22000.0,21000.0,0
2025-06-13,20000.0,24000.0,24000.0,22000.0,21000.0,0
